group,Masculino,Feminino
Norte,571,604
Centro,387,422
Área Metropolitana de Lisboa,714,804
Alentejo,131,129
Algarve,63,73
Região Autónoma dos Açores,23,28
Região Autónoma da Madeira,25,35
