group,Masculino,Feminino
Norte,823,886
Centro,527,579
Área Metropolitana de Lisboa,857,1043
Alentejo,163,180
Algarve,101,113
Região Autónoma dos Açores,40,46
Região Autónoma da Madeira,37,48
