type,2020,2019,2018
Hotéis,669429,2166849,2039729
Hotéis-apartamentos,112051,307298,282769
Aldeamentos turísticos,50274,110148,110426
Apartamentos turísticos,56702,156912,146011
Alojamento Local,105916,340580,277424
Turismo habitação rural,67618,94542,82584
