group,2009,2020
Norte,38827,62229
Centro,38605,53697
Área Metropolitana de Lisboa,52041,60047
Alentejo,10591,23718
Algarve,95910,112735
Região Autónoma dos Açores,8806,10142
Região Autónoma da Madeira,29024,22189
