group,Masculino,Feminino
Norte,719,774
Centro,451,513
Área Metropolitana de Lisboa,804,958
Alentejo,158,181
Algarve,94,104
Região Autónoma dos Açores,42,45
Região Autónoma da Madeira,42,45
