Country,Value
Portugal,21107132
Alemanha,5919634
Áustria,461203
Bélgica,1037790
Dinamarca,571572
Espanha,5250339
Finlândia,428880
França,4595392
Irlanda,1798415
Itália,1705192
Países Baixos,2369178
Reino Unido,9367271
Suécia,729643
Brasil,2960883
Canadá,984850
EUA,2713436
Ásia,2152433
África,601114
Outros,5404605
